"ID","LANGUAGE","CONCEPT","FORM","COMMENTS","SOURCE"
135,"Apurimac","CERTAINTY","puni ","","camacho2006"
136,"Apurimac","CISLOCATIVE","mu ","","camacho2006"
137,"Apurimac","CISLOCATIVE","mu ","","camacho2006"
138,"Apurimac","CONDITIONAL","man ","","camacho2006"
139,"Apurimac","CONTINUATIVE","raq","","camacho2006"
140,"Apurimac","CONTINUATIVE","raya ","","camacho2006"
141,"Apurimac","DATIVE/ILATIVE","man","","camacho2006"
142,"Apurimac","DESIRATIVE","naya ","","camacho2006"
143,"Apurimac","DIMINUTIVE","cha","","camacho2006"
144,"Apurimac","DISTAL DEMONSTRATIVE","chay","","camacho2006"
145,"Apurimac","DISTAL REMOVED DEMONSTRATIVE","haqay","","camacho2006"
146,"Apurimac","DURATIVE","chka ","","camacho2006"
147,"Apurimac","DURATIVE","ykacha","","camacho2006"
148,"Apurimac","EMPHATIC","ari","","camacho2006"
149,"Apurimac","EVIDENTIAL CONJECTURAL","cha ","","camacho2006"
150,"Apurimac","EVIDENTIAL DIRECT","mi","","camacho2006"
151,"Apurimac","EVIDENTIAL MODIFER (STRONGEST)","iki","","camacho2006"
152,"Apurimac","EXCEPTIONAL","yku ","","camacho2006"
153,"Apurimac","EXCLUSIVE","pura ","","camacho2006"
154,"Apurimac","GENITIVE","pa ","","camacho2006"
155,"Apurimac","INCEPTIVE","ri ","","camacho2006"
156,"Apurimac","INCHOATIVE","ya ","","camacho2006"
157,"Apurimac","INCLUSIVE","ntin ","","camacho2006"
158,"Apurimac","INFINITIVE","y ","","camacho2006"
159,"Apurimac","INJUNCTIVE","chunku, y, ychis ","","camacho2006"
160,"Apurimac","INSTRUMENTAL-COMITATIVE","wan","","camacho2006"
161,"Apurimac","LOCATIVE","pi ","","camacho2006"
162,"Apurimac","MIDDLE VOICE","ku ","","camacho2006"
163,"Apurimac","MULTIPLE POSSESSIVE","sapa ","","camacho2006"
164,"Apurimac","NEGATION","chu ","","camacho2006"
165,"Apurimac","NOMINALIZER NA","na ","Concretizador","camacho2006"
166,"Apurimac","PAST TENSE","rqa ","","camacho2006"
167,"Apurimac","PECUNIAL","ral ","","camacho2006"
168,"Apurimac","PERFECT","sqa ","","camacho2006"
169,"Apurimac","PERFECTIVIZER","sqa","","camacho2006"
170,"Apurimac","PERFECTIVIZER","stin ","","camacho2006"
171,"Apurimac","PLURAL","kuna","","camacho2006"
172,"Apurimac","POSSESSIVE","yoq ","","camacho2006"
173,"Apurimac","PROXIMAL DEMONSTRATIVE","kay","","camacho2006"
174,"Apurimac","REASON","rayku","","camacho2006"
175,"Apurimac","REASON","rayku ","","camacho2006"
176,"Apurimac","RECIPROCAL","naku ","","camacho2006"
177,"Apurimac","REPETITIVE","pa, paya ","","camacho2006"
178,"Apurimac","REPORTATIVE PAST TENSE","sqa ","-ñaq/-sqa","camacho2006"
179,"Apurimac","RESTRICTIVE","lla, kama","","camacho2006"
180,"Apurimac","SEQUENTIAL","taq ","","camacho2006"
181,"Apurimac","SIMULATIVE","tiya ","","camacho2006"
182,"Apurimac","SUBORDINATOR IDSUB","spa ","","camacho2006"
183,"Apurimac","SUBORIDNATOR DIFFSUB","pti","glossed as WHEN, WHY","camacho2006"
184,"Apurimac","URGENT","rqu ","","camacho2006"
185,"Apurimac","VERBAL BENEFACTIVE","pu","","camacho2006"
186,"Apurimac","VERBALIZER","ña","","camacho2006"
187,"Apurimac","VOCATIVE","ya ","","camacho2006"
188,"Ayacucho","1 SUBJECT 2 OBJECT ","yki","","parker1969"
189,"Ayacucho","1PL EXCL. SUBJECT 2PL OBJECT ","ykiku","","parker1969"
190,"Ayacucho","1PL POSSESSOR","nčik","","parker1969"
191,"Ayacucho","1PL VERBAL","nčik","","parker1969"
192,"Ayacucho","1PL VERBAL CONDITIONAL","čwan","","parker1969"
193,"Ayacucho","1PL VERBAL FUTURE","sun","","parker1969"
194,"Ayacucho","1S POSSESSOR","tanta-y","ku for plural","parker1969"
195,"Ayacucho","1S SUBJECT 2PL OBJECT ","ykičik","","parker1969"
196,"Ayacucho","1S SUBJECT 2S OBJECT FUTURE","sayki, sqayki","","parker1969"
197,"Ayacucho","1S VERBAL","ka-ni","ku for plural","parker1969"
198,"Ayacucho","1S VERBAL FUTURE","saq","","parker1969"
199,"Ayacucho","2 SUBJECT 1PL OBJECT","wankiku","","parker1969"
200,"Ayacucho","2PL SUBJECT 1S OBJECT","wankičik","","parker1969"
201,"Ayacucho","2S CONDITIONAL","waq","","parker1969"
202,"Ayacucho","2S POSSESSOR","yki","ku for plural","parker1969"
203,"Ayacucho","2S SUBJECT 1S OBJECT","wanki","","parker1969"
204,"Ayacucho","2S VERBAL","nki","","parker1969"
205,"Ayacucho","3S FUTURE","nqa","-qa for all future forms","parker1969"
206,"Ayacucho","3S POSSESSOR","n","ku for plural","parker1969"
207,"Ayacucho","3S SUBJECT 1PL OBJECT","wančik","","parker1969"
208,"Ayacucho","3S SUBJECT 1PL OBJECT EXCL","wanku","","parker1969"
209,"Ayacucho","3S SUBJECT 1PL OBJECT FUTURE","wasun, wasunčik","","parker1969"
210,"Ayacucho","3S SUBJECT 1S OBJECT","wan","","parker1969"
211,"Ayacucho","3S SUBJECT 2S OBJECT","sunki","","parker1969"
212,"Ayacucho","3S SUBJECT 2S OBJECT","sunkičik","","parker1969"
213,"Ayacucho","3S VERBAL","n","ku for plural","parker1969"
214,"Ayacucho","ABLATIVE","manta","","parker1969"
215,"Ayacucho","ACCOMPANIMENT","si","helping someone","parker1969"
216,"Ayacucho","ACCUSATIVE","ta","","parker1969"
217,"Ayacucho","ADDITIVE","pas","","parker1969"
218,"Ayacucho","AGENTIVE","q","","parker1969"
219,"Ayacucho","APOLOGETIC","iki","""bedauernd""","parker1969"
220,"Ayacucho","AUGMENTATIVE","su, yku,yka","yku: verbal augmentative","parker1969"
221,"Ayacucho","BENEFACTIVE","paq","","parker1969"
222,"Ayacucho","CAUSATIVE","či","","parker1969"
223,"Ayacucho","CERTAINTY","puni","","parker1969"
224,"Ayacucho","CISLOCATIVE","mu","","parker1969"
225,"Ayacucho","COMPARATIVE","hina","","parker1969"
226,"Ayacucho","CONDITIONAL","man","","parker1969"
227,"Ayacucho","CONTINUATIVE","raq","","parker1969"
228,"Ayacucho","CONTINUATIVE","raya","","parker1969"
229,"Ayacucho","DATIVE/ILATIVE","man","","parker1969"
230,"Ayacucho","DIFFUSION","kUča","diffusion in space, time and importance, idiomatic and fully productive; U","parker1969"
231,"Ayacucho","DIMINUTIVE","ča","","parker1969"
232,"Ayacucho","DISTRIBUTIVE","nka","quantifying: distribution or receiving","parker1969"
233,"Ayacucho","DURATIVE","čka","","parker1969"
234,"Ayacucho","EMPHATIC","á, ya","ya: regretting","parker1969"
235,"Ayacucho","EVIDENTIAL CONJECTURAL","č, ča","","parker1969"
236,"Ayacucho","EVIDENTIAL DIRECT","mi","","parker1969"
237,"Ayacucho","EVIDENTIAL REPORTATIVE","s, si","","parker1969"
238,"Ayacucho","EXCLUSIVE","pura","""among houses""","parker1969"
239,"Ayacucho","FACTIVE","ča","deriving verb","parker1969"
240,"Ayacucho","GENITIVE","pa","","parker1969"
241,"Ayacucho","IMPERATIVE","y","","parker1969"
242,"Ayacucho","INCEPTIVE","ri","","parker1969"
243,"Ayacucho","INCHOATIVE","ya","""to become""","parker1969"
244,"Ayacucho","INCLUSIVE","ntin","","parker1969"
245,"Ayacucho","INFINITIVE","y","","parker1969"
246,"Ayacucho","INSTRUMENTAL-COMITATIVE","wan","","parker1969"
247,"Ayacucho","INTENSIFIER","ya","","parker1969"
248,"Ayacucho","LIMITATIVE","kama","","parker1969"
249,"Ayacucho","LOCATIVE","pi","","parker1969"
250,"Ayacucho","MIDDLE VOICE","ku","","parker1969"
251,"Ayacucho","MULTIPLE POSSESSIVE","sapa","","parker1969"
252,"Ayacucho","NEGATION","ču","","parker1969"
253,"Ayacucho","NOMINALIZER NA","na","","parker1969"
254,"Ayacucho","PAST TENSE","rqa","","parker1969"
255,"Ayacucho","PECUNIAL","řal","","parker1969"
256,"Ayacucho","PERFECT","sqa","","parker1969"
257,"Ayacucho","PERFECTIVIZER","sqa","","parker1969"
258,"Ayacucho","PLURAL","kuna","","parker1969"
259,"Ayacucho","POSSESSIVE","yuq","","parker1969"
260,"Ayacucho","REASON","rayku","","parker1969"
261,"Ayacucho","RECIPROCAL","naku","","parker1969"
262,"Ayacucho","REPETITIVE","pa","","parker1969"
263,"Ayacucho","REPORTATIVE PAST TENSE","sqa","","parker1969"
264,"Ayacucho","RESTRICTIVE","lla","just a house","parker1969"
265,"Ayacucho","SEQUENTIAL","taq","","parker1969"
266,"Ayacucho","SIMULATIVE","ti","","parker1969"
267,"Ayacucho","SUBORDINATOR ADVERBIAL","sti","","parker1969"
268,"Ayacucho","SUBORDINATOR IDSUB","spa","","parker1969"
269,"Ayacucho","SUBORIDNATOR DIFFSUB","pti","","parker1969"
270,"Ayacucho","TOPIC","qa","","parker1969"
271,"Ayacucho","UNINTERRUPTED ACTION","ra","uninterrupted action as well","parker1969"
272,"Ayacucho","URGENT","rqu","urgency or personal interest","parker1969"
273,"Ayacucho","VERBAL BENEFACTIVE","pu","he sees it for someone","parker1969"
274,"Ayacucho","VERBALIZER","ña","","parker1969"
275,"Azuay","1 SUBJECT 2 OBJECT ","yqui","singular","cordero1955"
276,"Azuay","1PL VERBAL","nchi","","cordero1955"
277,"Azuay","1PL VERBAL FUTURE","sunchi","","cordero1955"
278,"Azuay","1S SUBJECT 2PL OBJECT ","yquichita","","cordero1955"
279,"Azuay","1S SUBJECT 2S OBJECT FUTURE","scaqui","","cordero1955"
280,"Azuay","1S VERBAL","ka-ni","","cordero1955"
281,"Azuay","1S VERBAL FUTURE","sa","","cordero1955"
282,"Azuay","2PL VERBAL FUTURE","ncanguichi","","cordero1955"
283,"Azuay","2S VERBAL","ngui","","cordero1955"
284,"Azuay","2S VERBAL FUTURE","ncangui","","cordero1955"
285,"Azuay","3PL VERBAL","ncuna","","cordero1955"
286,"Azuay","3PL VERBAL FUTURE","ngacuna","","cordero1955"
287,"Azuay","3S FUTURE","nga","","cordero1955"
288,"Azuay","3S VERBAL","n","no se marca siempre","cordero1955"
289,"Azuay","ABLATIVE","manda","","cordero1955"
290,"Azuay","ACCUSATIVE","ta","","cordero1955"
291,"Azuay","ADDITIVE","pas","","cordero1955"
292,"Azuay","AGENTIVE","g","","cordero1955"
293,"Azuay","BENEFACTIVE","pua","beneficio del hablante","cordero1955"
294,"Azuay","CATEGORIC QUESTION","ta","","cordero1955"
295,"Azuay","CISLOCATIVE","mu","","cordero1955"
296,"Azuay","COMPARATIVE","como","spanish","cordero1955"
297,"Azuay","CONDITIONAL","ntra","","cordero1955"
298,"Azuay","CONTINUATIVE","raya","sin interrupción, uniforme","cordero1955"
299,"Azuay","CONTRASTIVE","c, ca","llevé a Pacho. A María no","cordero1955"
300,"Azuay","DATIVE/ILATIVE","ma, pagma","","cordero1955"
301,"Azuay","DESIRATIVE","naya","","cordero1955"
302,"Azuay","DESPECTIVE","ag, ash, ans","personas despreciadas","cordero1955"
303,"Azuay","DIMINUTIVE","tum","","cordero1955"
304,"Azuay","DURATIVE","cu, nacu","nacu para plural","cordero1955"
305,"Azuay","EMPHATIC","llata, tata","esa misma noche, ese mismo rio","cordero1955"
306,"Azuay","EVIDENTIAL CONJECTURAL","char","","cordero1955"
307,"Azuay","EVIDENTIAL DIRECT","mi","","cordero1955"
308,"Azuay","EVIDENTIAL REPORTATIVE","si","","cordero1955"
309,"Azuay","FRUSTRATIVE","ma","hubera llevado; aspecto verbal","cordero1955"
310,"Azuay","GENITIVE","pa","","cordero1955"
311,"Azuay","IMPERATIVE","y, ychi","sg/plural","cordero1955"
312,"Azuay","IMPERATIVE 1P","sunchu, nacusunchi","sg/pl","cordero1955"
313,"Azuay","INCEPTIVE","ri","","cordero1955"
314,"Azuay","INCHOATIVE","ya","","cordero1955"
315,"Azuay","INFINITIVE","y","","cordero1955"
316,"Azuay","INJUNCTIVE","chu","","cordero1955"
317,"Azuay","INSTRUMENTAL-COMITATIVE","hua","","cordero1955"
318,"Azuay","LIMITATIVE/AFECTIVE","cama","","cordero1955"
319,"Azuay","LOCATIVE","pi","","cordero1955"
320,"Azuay","NEGATION","chu","","cordero1955"
321,"Azuay","NOMINALIZER NA","nga","nqa?","cordero1955"
322,"Azuay","PAST TENSE","rqa","","cordero1955"
323,"Azuay","PERFECT","sca","","cordero1955"
324,"Azuay","PERFECTIVIZER","sca","","cordero1955"
325,"Azuay","PLURAL","cuna","","cordero1955"
326,"Azuay","POOR","jim, ajim","“pobre hombrecito”","cordero1955"
327,"Azuay","POSSESSIVE","yug","","cordero1955"
328,"Azuay","POTENTIALIS","ngapa","+ kay; voy a llevar, iba a llevar (karquani)","cordero1955"
329,"Azuay","PURPOSIVE","ngapa","subordination","cordero1955"
330,"Azuay","REASON","chi","","cordero1955"
331,"Azuay","RELATIONAL","ndi","cayandi: al dia siguiente (dia que tiene relación con otro)","cordero1955"
332,"Azuay","RESTRICTIVE","lla","","cordero1955"
333,"Azuay","SUBORDINATOR CONSEQUENCE","gta","limitative= bebió hasta que se emborrachó; direct consequence from main verb","cordero1955"
334,"Azuay","SUBORDINATOR IDSUB","spa","","cordero1955"
335,"Azuay","SUBORDINATOR SAME-TIME","hora","prestado del castellano","cordero1955"
336,"Azuay","SUBORIDNATOR DIFFSUB","gpi","","cordero1955"
337,"Azuay","SURROUNDINGS","nig","","cordero1955"
338,"Azuay","TRANSLOCATIVE","pu","","cordero1955"
339,"Azuay","VERB COMPLEMENT 1S","hua","me llevó; complemento del verbo en la primera persona","cordero1955"
340,"Cacra-Hongos","1 OBJECT","ma","","shimelman2017"
341,"Cacra-Hongos","1 SUBJECT 2 OBJECT ","yki","","shimelman2017"
342,"Cacra-Hongos","1PL POSSESSOR","nchik","","shimelman2017"
343,"Cacra-Hongos","1PL VERBAL","nchik","","shimelman2017"
344,"Cacra-Hongos","1PL VERBAL CONDITIONAL","chuwan","","shimelman2017"
345,"Cacra-Hongos","1PL VERBAL FUTURE","shun","","shimelman2017"
346,"Cacra-Hongos","1S POSSESSOR","tantaː","","shimelman2017"
347,"Cacra-Hongos","1S SUBJECT 2S OBJECT FUTURE","shqayki","variation between sh and s","shimelman2017"
348,"Cacra-Hongos","1S VERBAL","kaː","","shimelman2017"
349,"Cacra-Hongos","1S VERBAL FUTURE","shaq","","shimelman2017"
350,"Cacra-Hongos","2S CONDITIONAL","waq","","shimelman2017"
351,"Cacra-Hongos","2S OBJECT","shu","shu/su","shimelman2017"
352,"Cacra-Hongos","2S POSSESSOR","yki","","shimelman2017"
353,"Cacra-Hongos","2S SUBJECT 1S OBJECT","wanki","","shimelman2017"
354,"Cacra-Hongos","2S VERBAL","nki","","shimelman2017"
355,"Cacra-Hongos","3S FUTURE","nqa","","shimelman2017"
356,"Cacra-Hongos","3S POSSESSOR","n","","shimelman2017"
357,"Cacra-Hongos","3S SUBJECT 1PL OBJECT","manchik","","shimelman2017"
358,"Cacra-Hongos","3S SUBJECT 1S OBJECT","man","","shimelman2017"
359,"Cacra-Hongos","3S SUBJECT 2S OBJECT","shunki","","shimelman2017"
360,"Cacra-Hongos","3S VERBAL","n","","shimelman2017"
361,"Cacra-Hongos","ABLATIVE","paq","","shimelman2017"
362,"Cacra-Hongos","ACCOMPANIMENT","shi,si","","shimelman2017"
363,"Cacra-Hongos","ACCUSATIVE","kta","","shimelman2017"
364,"Cacra-Hongos","ADDITIVE","pis,s","","shimelman2017"
365,"Cacra-Hongos","AGENTIVE","q","","shimelman2017"
366,"Cacra-Hongos","BENEFACTIVE","paq","","shimelman2017"
367,"Cacra-Hongos","CAUSATIVE","chi","","shimelman2017"
368,"Cacra-Hongos","CERTAINTY","puni","","shimelman2017"
369,"Cacra-Hongos","CISLOCATIVE","mu","","shimelman2017"
370,"Cacra-Hongos","COMPARATIVE","hina","","shimelman2017"
371,"Cacra-Hongos","CONDITIONAL","man","","shimelman2017"
372,"Cacra-Hongos","CONTINUATIVE","raq","","shimelman2017"
373,"Cacra-Hongos","DATIVE/ILATIVE","man","","shimelman2017"
374,"Cacra-Hongos","DESIRATIVE","naya","","shimelman2017"
375,"Cacra-Hongos","DETRANSITIVIZER","raya","","shimelman2017"
376,"Cacra-Hongos","DIMINUTIVE","cha","","shimelman2017"
377,"Cacra-Hongos","DISCONTINUATIVE","ña","","shimelman2017"
378,"Cacra-Hongos","DISJUNCTIVE","chu","","shimelman2017"
379,"Cacra-Hongos","DISTAL DEMONSTRATIVE","chay","","shimelman2017"
380,"Cacra-Hongos","DISTAL REMOVED DEMONSTRATIVE","wak","","shimelman2017"
381,"Cacra-Hongos","DURATIVE","chka","","shimelman2017"
382,"Cacra-Hongos","DURATIVE","ya","","shimelman2017"
383,"Cacra-Hongos","EMPHATIC","ali","","shimelman2017"
384,"Cacra-Hongos","EMPHATIC","ya","","shimelman2017"
385,"Cacra-Hongos","EVIDENTIAL CONJECTURAL","tri,tr","","shimelman2017"
386,"Cacra-Hongos","EVIDENTIAL DIRECT","mi,m","","shimelman2017"
387,"Cacra-Hongos","EVIDENTIAL MODIFER","ik","","shimelman2017"
388,"Cacra-Hongos","EVIDENTIAL MODIFER (STRONGEST)","iki","","shimelman2017"
389,"Cacra-Hongos","EVIDENTIAL REPORTATIVE","shi,sh","","shimelman2017"
390,"Cacra-Hongos","EXCEPTIONAL","yku,yka/ika/iku","","shimelman2017"
391,"Cacra-Hongos","EXCLUSIVE","pura","","shimelman2017"
392,"Cacra-Hongos","FACTIVE","cha","","shimelman2017"
393,"Cacra-Hongos","FREQUENTIVE","katra","","shimelman2017"
394,"Cacra-Hongos","GENITIVE","pa,pi","","shimelman2017"
395,"Cacra-Hongos","IMPERATIVE","y","","shimelman2017"
396,"Cacra-Hongos","INCEPTIVE","ri","","shimelman2017"
397,"Cacra-Hongos","INCHOATIVE","ya","","shimelman2017"
398,"Cacra-Hongos","INCLUSIVE","ntin","","shimelman2017"
399,"Cacra-Hongos","INFINITIVE","y","","shimelman2017"
400,"Cacra-Hongos","INJUNCTIVE","chun","","shimelman2017"
401,"Cacra-Hongos","INSTRUMENTAL-COMITATIVE","wan","","shimelman2017"
402,"Cacra-Hongos","INTENSIFIER","lu,la","","shimelman2017"
403,"Cacra-Hongos","INTENSIFIER","ya","","shimelman2017"
404,"Cacra-Hongos","IRREVERSIBLE CHANGE","tamu","","shimelman2017"
405,"Cacra-Hongos","JOINT ACTION","paku,paːku","","shimelman2017"
406,"Cacra-Hongos","LIMITATIVE","kama","","shimelman2017"
407,"Cacra-Hongos","LOCATIVE","pa,pi","","shimelman2017"
408,"Cacra-Hongos","LOCATIVE","traw","","shimelman2017"
409,"Cacra-Hongos","MIDDLE VOICE","ku","U","shimelman2017"
410,"Cacra-Hongos","MULTIPLE POSSESSIVE","sapa","","shimelman2017"
