# Wordlist

# DATA
ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE
391		tʃ u w a n	111	1PL VERBAL CONDITIONAL	Cacra-Hongos	chuwan		tʃ u w a n	chuwan			shimelman2017
693		- - - - m a n	112	1PL VERBAL CONDITIONAL	Cuzco	man		m a n	man			cusihuaman1976
867		ʃ - w a n	111	1PL VERBAL CONDITIONAL	Huallaga	šwan		ʃ w a n	šwan			
993		tʃ - w a n	111	1PL VERBAL CONDITIONAL	Huanca	chwan		tʃ w a n	chwan		plural conditional; “we could”/”podríamos”	cerron1976
1086		tʃ u w a n	111	1PL VERBAL CONDITIONAL	Huangascar	chuwan		tʃ u w a n	chuwan			shimelman2017
1201		- j aː - m a n	112	1PL VERBAL CONDITIONAL	HuarazHuailas	yaaman		j aː m a n	yaaman			parker1976
1404		tʃ u w a n	111	1PL VERBAL CONDITIONAL	Lincha-Tana	chuwan		tʃ u w a n	chuwan			shimelman2017
1517		s - w a n	111	1PL VERBAL CONDITIONAL	Pacaraos	swan		s w a n	swan			adelaar1987
1730		tʃ u w a n	111	1PL VERBAL CONDITIONAL	SanPedro	chuwan		tʃ u w a n	chuwan			shimelman2017
1845		- j - ʃ m a n	112	1PL VERBAL CONDITIONAL	Santiagueno	yshman		j ʃ m a n	yshman,nchisman		inclusive	juanatey2020
1846		n tʃ i s m a n	112	1PL VERBAL CONDITIONAL	Santiagueno	nchisman		n tʃ i s m a n	yshman,nchisman		inclusive	juanatey2020
1942		tʃ - w a n	111	1PL VERBAL CONDITIONAL	Tarma	chwan		tʃ w a n	chwan			adelaar1977
2052		tʃ w a n		1PL VERBAL CONDITIONAL	Ferrenafe	chwan		tʃ w a n				
2110		n + tʃ i + m a n		1PL VERBAL CONDITIONAL	Chachapoyas	nchi-man		n + tʃ i + m a n				taylor1979
2156		n tʃ i + w a n		1PL VERBAL CONDITIONAL	SanMartin	n-chi-wan		n tʃ i + w a n				
2167		n tʃ i + m a n		1PL VERBAL CONDITIONAL	Imbabura	nchi-man		n tʃ i + m a n				cole1985
2301		n tʃ i k + m a n		1PL VERBAL CONDITIONAL	Chimborazo	nchikman		n tʃ i k + m a n	nchikman			
#
6		ʃ - u n - - - -	129	1PL VERBAL FUTURE	Apuri	shun		ʃ u n	shun			shimelman2017
126		s u n + tʃ i s	129 25	1PL VERBAL FUTURE	Apurimac	sunchis		s u n + tʃ i s	sunchis			parker1976
224		s - u n - - - -	129	1PL VERBAL FUTURE	Ayacucho	sun		s u n	sun			parker1969
315		s u n + tʃ i	129 25	1PL VERBAL FUTURE	Azuay	sunchi		s u n + tʃ i	sunchi			cordero1955
392		ʃ - u n - - - -	129	1PL VERBAL FUTURE	Cacra-Hongos	shun		ʃ u n	shun			shimelman2017
507		ʃ - u n - - - -	129	1PL VERBAL FUTURE	Cajamarca	shun		ʃ u n	shun			quesada2006
575		ʃ u n + tʃ i	129 25	1PL VERBAL FUTURE	Chachapoyas	šunči		ʃ u n + tʃ i	šunči			taylor1979
633		ʃ u n + tʃ i k	129 25	1PL VERBAL FUTURE	Chimborazo	šuncik		ʃ u n + tʃ i k	šuncik			
788		ç u + n	205 129	1PL VERBAL FUTURE	Ferrenafe	shun		ç u + n	shun			taylor1982
868		ʃ - u n - - - -	129	1PL VERBAL FUTURE	Huallaga	šun		ʃ u n	šun		Es posible indicar primera persona plural exclusiva añadiendo /-kuna/ ‘plural’ a /-šaq/ ‘1FUT’, por ejemplo: /aywa-šaq-kuna-paq/ (ir-1FUT-PL-FUT) ‘nosotros (ex.) iremos’.	
994		ʃ - u n - - - -	129	1PL VERBAL FUTURE	Huanca	shun		ʃ u n	shun		inclusive	cerron1976
1087		ʃ - u n - - - -	129	1PL VERBAL FUTURE	Huangascar	shun		ʃ u n	shun			shimelman2017
1202		ʃ - u n - - - -	129	1PL VERBAL FUTURE	HuarazHuailas	shun		ʃ u n	shun			parker1976
1274		s u n + tʃ i	129 25	1PL VERBAL FUTURE	Inga	sunchi		s u n + tʃ i	sunchi			tandioy1978
1351		s - u n - - - -	129	1PL VERBAL FUTURE	Laraos	sun		s u n	sun			taylor1990
1405		ʃ - u n - - - -	129	1PL VERBAL FUTURE	Lincha-Tana	shun		ʃ u n	shun			shimelman2017
1518		ç - u n - - - -	129	1PL VERBAL FUTURE	Pacaraos	shun		ç u n	shun			adelaar1987
1602		ʃ - u n - - - -	129	1PL VERBAL FUTURE	Pastaza	shun		ʃ u n	shun			landerman1973
1663		ʃ u n + tʃ i	129 25	1PL VERBAL FUTURE	SanMartin	shunchi		ʃ u n + tʃ i	shunchi, shun, shunsapa		shun: dual; sun-chi, shun-sapa: inclusivo plural	coombs1976
1664		ʃ - u n - - - -	129	1PL VERBAL FUTURE	SanMartin	shun		ʃ u n	shunchi, shun, shunsapa		shun: dual; sun-chi, shun-sapa: inclusivo plural	coombs1976
1665		ʃ u n + s a p a	129	1PL VERBAL FUTURE	SanMartin	shunsapa		ʃ u n + s a p a	shunchi, shun, shunsapa		shun: dual; sun-chi, shun-sapa: inclusivo plural	coombs1976
1731		ʃ - u n - - - -	129	1PL VERBAL FUTURE	SanPedro	shun		ʃ u n	shun			shimelman2017
1847		s u j ʃ	129	1PL VERBAL FUTURE	Santiagueno	suysh		s u j ʃ	suysh,sunchis		inclusive	juanatey2020
1848		s u n + tʃ i s	129 25	1PL VERBAL FUTURE	Santiagueno	sunchis		s u n + tʃ i s	suysh,sunchis		inclusive	juanatey2020
1943		ʃ - u n - - - -	129	1PL VERBAL FUTURE	Tarma	shun		ʃ u n	shun			adelaar1977
2168		ʃ u n	0	1PL VERBAL FUTURE	Imbabura	shun		ʃ u n				cole1985
#
7		t a n t a + j	155 156	1S POSSESSOR	Apuri	tanta-y		t a n t a + j	tanta-y			shimelman2017
127		t a n t a + j	155 156	1S POSSESSOR	Apurimac	tanta-y		t a n t a + j	tanta-y			camacho2006
225		t a n t a + j	155 156	1S POSSESSOR	Ayacucho	tanta-y		t a n t a + j	tanta-y		ku for plural	parker1969
393		t a n t aː/a + ø/a	155 157	1S POSSESSOR	Cacra-Hongos	tantaː		t a n t aː/a + ø/a	tantaː			shimelman2017
508		t a n t a + j	155 156	1S POSSESSOR	Cajamarca	tanta-y		t a n t a + j	tanta-y			quesada2006
576		t a n t a + j	155 156	1S POSSESSOR	Chachapoyas	tanta-y		t a n t a + j	tanta-y			taylor1979
694		t a n t a + j	155 156	1S POSSESSOR	Cuzco	tanta-y		t a n t a + j	tanta-y			cusihuaman1976
789		t a n t a + i	155 157	1S POSSESSOR	Ferrenafe	tanta-y		t a n t a + i	tanta-y			taylor1982
869		t a n t aː/a + ø/a	155 157	1S POSSESSOR	Huallaga	tantaː		t a n t aː/a + ø/a	tantaː		Alargamiento después de V corta	weber1996
995		t a n t aː + ø/a	155 157	1S POSSESSOR	Huanca	tantaː		t a n t aː + ø/a	tantaː			cerron1976
1088		t a n t aː/a + ø/a	155 157	1S POSSESSOR	Huangascar	tantaː		t a n t aː/a + ø/a	tantaː			shimelman2017
1203		t a n t aː/a + ø/a	155 157	1S POSSESSOR	HuarazHuailas	tantaː		t a n t aː/a + ø/a	tantaː		-nii si la raíz = C# /V:#	parker1976
1352		t a n t ai	155 157	1S POSSESSOR	Laraos	tanta-y		t a n t ai	tanta-y			taylor1990
1406		t a n t a + j	155 156	1S POSSESSOR	Lincha-Tana	tanta-y		t a n t a + j	tanta-y			shimelman2017
1519		t a n t ai	155 157	1S POSSESSOR	Pacaraos	tanta-y		t a n t ai	tanta-y		tras vocal i, hay alargamiento vocálico	adelaar1987
1603		t a n t a + j	155 156	1S POSSESSOR	Pastaza	tanta-y		t a n t a + j	tanta-y		/-ni/ tras C	landerman1973
1666		t a n t a + j	155 156	1S POSSESSOR	SanMartin	tanta-y		t a n t a + j	tanta-y			coombs1976
1732		t a n t aː/a + ø/a	155 157	1S POSSESSOR	SanPedro	tantaː		t a n t aː/a + ø/a	tantaː			shimelman2017
1849		t a n t a + j	155 156	1S POSSESSOR	Santiagueno	tanta-y		t a n t a + j	tanta-y			juanatey2020
1944		t a n t aː/a + ø/a	155 157	1S POSSESSOR	Tarma	tantaː		t a n t aː/a + ø/a	tantaː			adelaar1977
#
128		s q a j k i	195	1S SUBJECT 2PL OBJECT	Apurimac	sqayki		s q a j k i	sqayki			camacho2006
226		- i k i tʃ i k -	197	1S SUBJECT 2PL OBJECT	Ayacucho	ykičik		i k i tʃ i k	ykičik			
316		j - k i tʃ i t a	197	1S SUBJECT 2PL OBJECT	Azuay	yquichita		j k i tʃ i t a	yquichita			cordero1955
1275		j - k i tʃ i t a	197	1S SUBJECT 2PL OBJECT	Inga	yquichita		j k i tʃ i t a	yquichita			tandioy1978
#
2		j - k i	24	1S SUBJECT 2S OBJECT	Apuri	yki		j k i	yki			shimelman2017
116		j - k i	24	1S SUBJECT 2S OBJECT	Apurimac	yki		j k i	yki			camacho2006
219		- i k i	24	1S SUBJECT 2S OBJECT	Ayacucho	yki		i k i	yki			parker1969
313		j - k i	24	1S SUBJECT 2S OBJECT	Azuay	yqui		j k i	yqui		singular	cordero1955
388		j - k i	24	1S SUBJECT 2S OBJECT	Cacra-Hongos	yki		j k i	yki			shimelman2017
503		- i k i	24	1S SUBJECT 2S OBJECT	Cajamarca	yki		i k i	yki			quesada2006
573		- i k i	24	1S SUBJECT 2S OBJECT	Chachapoyas	yki		i k i	yki			taylor1979
692		j - k i	24	1S SUBJECT 2S OBJECT	Cuzco	yki		j k i	yki			cusihuaman1976
783		- i k i	24	1S SUBJECT 2S OBJECT	Ferrenafe	yki		i k i	yki			taylor1982
790		ç u + n i	205	1S SUBJECT 2S OBJECT	Ferrenafe	shuni		ç u + n i	shuni			taylor1982
996		k	206	1S SUBJECT 2S OBJECT	Huanca	k		k	k			cerron1976
1083		j - k i	24	1S SUBJECT 2S OBJECT	Huangascar	yki		j k i	yki			shimelman2017
1204		q	206	1S SUBJECT 2S OBJECT	HuarazHuailas	q		q	q			parker1976
1272		j - k i	24	1S SUBJECT 2S OBJECT	Inga	yqui		j k i	yqui		singular	tandioy1978
1348		- i k i	24	1S SUBJECT 2S OBJECT	Laraos	yki		i k i	yki			taylor1990
1401		j - k i	24	1S SUBJECT 2S OBJECT	Lincha-Tana	yki		j k i	yki			shimelman2017
1515		m ui	25	1S SUBJECT 2S OBJECT	Pacaraos	muy		m ui	muy			adelaar1987
1596		j - k i	24	1S SUBJECT 2S OBJECT	Pastaza	yki		j k i	yki			landerman1973
1661		- i k i	24	1S SUBJECT 2S OBJECT	SanMartin	yki		i k i	yki			coombs1976
1727		j - k i	24	1S SUBJECT 2S OBJECT	SanPedro	yki		j k i	yki			shimelman2017
1850		s u j k i	201	1S SUBJECT 2S OBJECT	Santiagueno	suyki		s u j k i	suyki,yki/su			juanatey2020
1851		- - j k i	201	1S SUBJECT 2S OBJECT	Santiagueno	yki		j k i	suyki,yki/su			juanatey2020
1852		s u	202	1S SUBJECT 2S OBJECT	Santiagueno	su		s u	suyki,yki/su			juanatey2020
1945		q	206	1S SUBJECT 2S OBJECT	Tarma	q		q	q			adelaar1977
2134		i k i		1S SUBJECT 2S OBJECT	Tarma	yki		i k i				
2240		q		1S SUBJECT 2S OBJECT	HuarazHuailas	q		q				
#
8		ʃ q a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Apuri	shqayki		ʃ q a + j k i	shqayki		variation between sh and s	shimelman2017
227		s a + i k i	210	1S SUBJECT 2S OBJECT FUTURE	Ayacucho	sayki		s a + i k i	sayki, sqayki			parker1969
228		s χ a + i k i	210	1S SUBJECT 2S OBJECT FUTURE	Ayacucho	sqayki		s χ a + i k i	sayki, sqayki			parker1969
317		s q a + k i	210	1S SUBJECT 2S OBJECT FUTURE	Azuay	scaqui		s q a + k i	scaqui			cordero1955
394		ʃ q a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Cacra-Hongos	shqayki		ʃ q a + j k i	shqayki		variation between sh and s	shimelman2017
509		s - - - - u - - - + χ	210 211	1S SUBJECT 2S OBJECT FUTURE	Cajamarca	su q		s u + χ	su q			quesada2006
791		ç a + i k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Ferrenafe	shayki		ç a + i k i	shayki, shushaq			taylor1982
792		ç u + ç a q	205 280	1S SUBJECT 2S OBJECT FUTURE	Ferrenafe	shushaq		ç u + ç a q	shayki, shushaq			taylor1982
870		ʃ a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Huallaga	šayki		ʃ a + j k i	šayki			
997		ʃ a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Huanca	shayki		ʃ a + j k i	shayki			cerron1976
1089		ʃ q a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Huangascar	shqayki		ʃ q a + j k i	shqayki		variation between sh and s	shimelman2017
1205		ʃ q a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	HuarazHuailas	shqayki		ʃ q a + j k i	shqayki			parker1976
1276		s k a + k i	210	1S SUBJECT 2S OBJECT FUTURE	Inga	scaqui		s k a + k i	scaqui			tandioy1978
1353		s q a j k i	210	1S SUBJECT 2S OBJECT FUTURE	Laraos	sqayki		s q a j k i	sqayki			taylor1990
1407		ʃ q a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Lincha-Tana	shqayki		ʃ q a + j k i	shqayki		variation between sh and s	shimelman2017
1520		ç q a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Pacaraos	shqayki		ç q a + j k i	shqayki		terminación especial	adelaar1987
1604		ʃ k a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Pastaza	shkayki		ʃ k a + j k i	shkayki			landerman1973
1733		ʃ q a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	SanPedro	shqayki		ʃ q a + j k i	shqayki		variation between sh and s	shimelman2017
1853		s q a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Santiagueno	sqayki		s q a + j k i	sqayki,susqayki/susaq			juanatey2020
1854		s u + s q a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Santiagueno	susqayki		s u + s q a + j k i	sqayki,susqayki/susaq			juanatey2020
1855		s u + s a χ	210	1S SUBJECT 2S OBJECT FUTURE	Santiagueno	susaq		s u + s a χ	sqayki,susqayki/susaq			juanatey2020
1946		ʃ a + j k i	210	1S SUBJECT 2S OBJECT FUTURE	Tarma	shayki		ʃ a + j k i	shayki			adelaar1977
2111		ʃ k a + i k i		1S SUBJECT 2S OBJECT FUTURE	Chachapoyas	shka-yki		ʃ k a + i k i				taylor1979
2155		ʃ k a + i k i		1S SUBJECT 2S OBJECT FUTURE	SanMartin	shka-yki		ʃ k a + i k i				
2259		s a y + k i		1S SUBJECT 2S OBJECT FUTURE	Cuzco	say-ki		s a y + k i				
#
9		k a + n i	234 235	1S VERBAL	Apuri	ka-ni		k a + n i	ka-ni			shimelman2017
129		k a + n i	234 235	1S VERBAL	Apurimac	ka-ni		k a + n i	ka-ni			camacho2006
229		k a + n i	234 235	1S VERBAL	Ayacucho	ka-ni		k a + n i	ka-ni		ku for plural	parker1969
318		k a + n i	234 235	1S VERBAL	Azuay	ka-ni		k a + n i	ka-ni			cordero1955
395		k aː/a + ø/a	234 236	1S VERBAL	Cacra-Hongos	kaː		k aː/a + ø/a	kaː			shimelman2017
510		k a + n i	234 235	1S VERBAL	Cajamarca	ka-ni		k a + n i	ka-ni			quesada2006
577		k a + n i	234 235	1S VERBAL	Chachapoyas	ka-ni		k a + n i	ka-ni			taylor1979
634		k a + n i	234 235	1S VERBAL	Chimborazo	ka-ni		k a + n i	ka-ni			beukema1975
695		k a + n i	234 235	1S VERBAL	Cuzco	ka-ni		k a + n i	ka-ni			cusihuaman1976
793		k a + n i	234 235	1S VERBAL	Ferrenafe	ka-ni		k a + n i	ka-ni			taylor1982
871		k aː + ø/a	234 236	1S VERBAL	Huallaga	kaː		k aː + ø/a	kaː			weber1996
998		k aː/a + ø/a	234 236	1S VERBAL	Huanca	kaː		k aː/a + ø/a	kaː		verbal person pluralization with -paaku	cerron1976
1090		k aː/a + ø/a	234 236	1S VERBAL	Huangascar	kaː		k aː/a + ø/a	kaː			shimelman2017
1206		k aː/a + ø/a	234 236	1S VERBAL	HuarazHuailas	kaː		k aː/a + ø/a	kaː			parker1976
1277		k a + n i	234 235	1S VERBAL	Inga	ka-ni		k a + n i	ka-ni			tandioy1978
1354		k a + n i	234 235	1S VERBAL	Laraos	ka-ni		k a + n i	ka-ni			taylor1990
1408		k a + n i	234 235	1S VERBAL	Lincha-Tana	ka-ni		k a + n i	ka-ni			shimelman2017
1521		k a + n i	234 235	1S VERBAL	Pacaraos	ka-ni		k a + n i	ka-ni			adelaar1987
1605		k a + n i	234 235	1S VERBAL	Pastaza	ka-ni		k a + n i	ka-ni			landerman1973
1667		k a + n i	234 235	1S VERBAL	SanMartin	ka-ni		k a + n i	ka-ni			coombs1976
1734		k aː/a + ø/a	234 236	1S VERBAL	SanPedro	kaː		k aː/a + ø/a	kaː			shimelman2017
1856		k a + n i	234 235	1S VERBAL	Santiagueno	ka-ni		k a + n i	ka-ni			juanatey2020
1947		k aː/a + ø/a	234 236	1S VERBAL	Tarma	kaː		k aː/a + ø/a	kaː			adelaar1977
2169		n i		1S VERBAL	Imbabura	ni		n i				cole1985
#
10		ʃ - a q	280	1S VERBAL FUTURE	Apuri	shaq		ʃ a q	shaq			shimelman2017
130		s - a q	280	1S VERBAL FUTURE	Apurimac	saq		s a q	saq			camacho2006
230		s - a χ	280	1S VERBAL FUTURE	Ayacucho	saq		s a χ	saq			parker1969
319		s - a -	280	1S VERBAL FUTURE	Azuay	sa		s a	sa			cordero1955
396		ʃ - a q	280	1S VERBAL FUTURE	Cacra-Hongos	shaq		ʃ a q	shaq			shimelman2017
511		ʃ χ a -	280	1S VERBAL FUTURE	Cajamarca	shqa		ʃ χ a	shqa			quesada2006
578		ʃ - a -	280	1S VERBAL FUTURE	Chachapoyas	ša		ʃ a	ša			taylor1979
635		ʃ - a -	280	1S VERBAL FUTURE	Chimborazo	ša		ʃ a	ša			
696		s - a q	280	1S VERBAL FUTURE	Cuzco	saq		s a q	saq			cusihuaman1976
794		ç a q	280	1S VERBAL FUTURE	Ferrenafe	shaq		ç a q	shaq			taylor1982
872		ʃ - a q	280	1S VERBAL FUTURE	Huallaga	šaq		ʃ a q	šaq			
999		ʃ - a q	280	1S VERBAL FUTURE	Huanca	shaq		ʃ a q	shaq			cerron1976
1091		ʃ - a q	280	1S VERBAL FUTURE	Huangascar	shaq		ʃ a q	shaq			shimelman2017
1207		ʃ - a q	280	1S VERBAL FUTURE	HuarazHuailas	shaq		ʃ a q	shaq			parker1976
1278		s - a -	280	1S VERBAL FUTURE	Inga	sa		s a	sa			tandioy1978
1355		s - a q	280	1S VERBAL FUTURE	Laraos	saq		s a q	saq			taylor1990
1409		ʃ - a q	280	1S VERBAL FUTURE	Lincha-Tana	shaq		ʃ a q	shaq			shimelman2017
1522		ç - a q	280	1S VERBAL FUTURE	Pacaraos	shaq		ç a q	shaq			adelaar1987
1606		ʃ - a -	280	1S VERBAL FUTURE	Pastaza	sha		ʃ a	sha			landerman1973
