ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SOURCE	TOKENS	VALUE	NOTE	BORROWING
36	m a n	911	DATIVE/ILATIVE	Apuri	man	shimelman2017	m a n	man		
37	n a j a	939	DESIDERATIVE	Apuri	naya	shimelman2017	n a j a	naya		
38	ɾ a j a	968	DETRANSITIVIZER	Apuri	raya	shimelman2017	ɾ a j a	raya		
39	tʃ a	976	DIMINUTIVE	Apuri	cha	shimelman2017	tʃ a	cha		
40	ɲ a	1019	DISCONTINUATIVE	Apuri	ña	shimelman2017	ɲ a	ña		
41	tʃ u	1029	DISJUNCTIVE	Apuri	chu	shimelman2017	tʃ u	chu		
42	tʃ ai	1036	DISTAL DEMONSTRATIVE	Apuri	chay	shimelman2017	tʃ ai	chay		
43	w a k	1046	DISTAL REMOVED DEMONSTRATIVE	Apuri	wak	shimelman2017	w a k	wak		
45	j - a	16	PROGRESSIVE	Apuri	ya	shimelman2017	j a	ya		
46	a ɾ i	1095	EMPHATIC	Apuri	ari	shimelman2017	a ɾ i	ari		
47	- ( - ) j a ( - )	20	INTENSIFIER	Apuri	ya	shimelman2017	j a	ya		
48	ʈ i	18	EVIDENTIAL CONJECTURAL	Apuri	tri	shimelman2017	ʈ i	tri,tr		
49	ʈ -	18	EVIDENTIAL CONJECTURAL	Apuri	tr	shimelman2017	ʈ	tri,tr		
50	m i	1157	EVIDENTIAL DIRECT	Apuri	mi	shimelman2017	m i	mi,m		
51	m -	1157	EVIDENTIAL DIRECT	Apuri	m	shimelman2017	m	mi,m		
52	i k	1184	EVIDENTIAL MODIFIER	Apuri	ik	shimelman2017	i k	ik		
53	- i k i	1191	EVIDENTIAL MODIFIER (STRONGEST)	Apuri	iki	shimelman2017	i k i	iki		
54	ʃ i	1198	EVIDENTIAL REPORTATIVE	Apuri	shi	shimelman2017	ʃ i	shi,sh		
55	ʃ -	1198	EVIDENTIAL REPORTATIVE	Apuri	sh	shimelman2017	ʃ	shi,sh		
56	i k u	1228	EXCEPTIONAL	Apuri	yku	shimelman2017	i k u	yku,yka/ika/iku		
57	i k a	1228	EXCEPTIONAL	Apuri	yka	shimelman2017	i k a	yku,yka/ika/iku		
58	i k a	1228	EXCEPTIONAL	Apuri	ika	shimelman2017	i k a	yku,yka/ika/iku		
59	i k u	1228	EXCEPTIONAL	Apuri	iku	shimelman2017	i k u	yku,yka/ika/iku		
60	p u ɾ a	1256	EXCLUSIVE	Apuri	pura	shimelman2017	p u ɾ a	pura		
61	tʃ a	1272	FACTIVE	Apuri	cha	shimelman2017	tʃ a	cha		
62	- k a ʈ a	1295	FREQUENTIVE	Apuri	katra	shimelman2017	k a ʈ a	katra		
63	p a -	1315	GENITIVE	Apuri	pa	shimelman2017	p a	pa,pi		
64	p i -	1315	GENITIVE	Apuri	pi	shimelman2017	p i	pa,pi		
65	i	30	IMPERATIVE	Apuri	y	shimelman2017	i	y		
66	- ɾ i	1397	INCEPTIVE	Apuri	ri	shimelman2017	ɾ i	ri		
67	j a	1419	INCHOATIVE	Apuri	ya	shimelman2017	j a	ya		
68	n t i n	1443	INCLUSIVE	Apuri	ntin	shimelman2017	n t i n	ntin		
69	i	30	INFINITIVE	Apuri	y	shimelman2017	i	y		
70	tʃ u n	1486	INJUNCTIVE	Apuri	chun	shimelman2017	tʃ u n	chun		
71	w a n	1507	INSTRUMENTAL-COMITATIVE	Apuri	wan	shimelman2017	w a n	wan		
72	- ( - ) j a ( - )	20	INTENSIFIER	Apuri	ya	shimelman2017	j a	ya		
73	t a m u	1553	IRREVERSIBLE CHANGE	Apuri	tamu	shimelman2017	t a m u	tamu		
75	p aː k u	1561	JOINT ACTION	Apuri	paːku	shimelman2017	p aː k u	paku,paːku		
76	k a m a -	1578	LIMITATIVE	Apuri	kama	shimelman2017	k a m a	kama		
77	p a	1603	LOCATIVE	Apuri	pa	shimelman2017	p a	pa,pi		
78	p i	1603	LOCATIVE	Apuri	pi	shimelman2017	p i	pa,pi		
79	k u	1637	MIDDLE VOICE	Apuri	ku	shimelman2017	k u	ku	U	
80	s a p a	1656	MULTIPLE POSSESSIVE	Apuri	sapa	shimelman2017	s a p a	sapa		
81	p u k u	1676	MUTUAL BENEFIT	Apuri	puku	shimelman2017	p u k u	puku		
82	tʃ u	1682	NEGATION	Apuri	chu	shimelman2017	tʃ u	chu		
83	n a	1711	NOMINALIZER NA	Apuri	na	shimelman2017	n a	na		
85	m a s i	1746	PARTNERSHIP	Apuri	masi	shimelman2017	m a s i	masi		
86	k a	1758	PASSIVE ACCIDENTAL	Apuri	ka	shimelman2017	k a	ka		
87	ɾ q a	1770	PAST TENSE	Apuri	rqa	shimelman2017	ɾ q a	rqa		
88	ʃ - a	1800	PERFECT	Apuri	sha	shimelman2017	ʃ a	sha,sa		
89	s - a	1800	PERFECT	Apuri	sa	shimelman2017	s a	sha,sa		
90	ʃ - a	1800	PERFECTIVIZER	Apuri	sha	shimelman2017	ʃ a	sha,sa	nmlz	
91	s - a	1800	PERFECTIVIZER	Apuri	sa	shimelman2017	s a	sha,sa	nmlz	
92	k u n a	1855	PLURAL	Apuri	kuna	shimelman2017	k u n a	kuna		
93	j o q ( - - )	1887	POSSESSIVE	Apuri	yuq	shimelman2017	j o q	yuq		
94	a m a	1918	PROHIBITIVE	Apuri	ama	shimelman2017	a m a	ama		
95	k ai	1927	PROXIMAL DEMONSTRATIVE	Apuri	kay	shimelman2017	k ai	kay		
97	ɾ ai k u	1948	REASON	Apuri	rayku	shimelman2017	ɾ ai k u	rayku		
98	n a k u	1976	RECIPROCAL	Apuri	naku	shimelman2017	n a k u	naku,naka		
99	n a k a	1976	RECIPROCAL	Apuri	naka	shimelman2017	n a k a	naku,naka		
100	p a	2008	REPETITIVE	Apuri	pa	shimelman2017	p a	pa		
101	ʃ q a	2021	REPORTATIVE PAST TENSE	Apuri	shqa	shimelman2017	ʃ q a	shqa		
102	ʎ a	2039	RESTRICTIVE	Apuri	lla	shimelman2017	ʎ a	lla		
103	t a q	2063	SEQUENTIAL	Apuri	taq	shimelman2017	t a q	taq		
104	t u k u	2082	SIMULATIVE	Apuri	tuku	shimelman2017	t u k u	tuku		
105	ʃ t i n	2097	SUBORDINATOR ADVERBIAL	Apuri	shtin	shimelman2017	ʃ t i n	shtin		
106	ʃ p a	2113	SUBORDINATOR IDSUB	Apuri	shpa	shimelman2017	ʃ p a	shpa		
107	p t i	2144	SUBORDINATOR DIFFSUB	Apuri	pti	shimelman2017	p t i	pti		
108	q a	2178	TOPIC	Apuri	qa	shimelman2017	q a	qa		
109	p u	2201	VERBAL BENEFACTIVE	Apuri	pu	shimelman2017	p u	pu,pa		
110	p a	2201	VERBAL BENEFACTIVE	Apuri	pa	shimelman2017	p a	pu,pa		
111	ɾ a	11	UNINTERRUPTED ACTION	Apuri	ra	shimelman2017	ɾ a	ra		
112	ɾ - u	2234	URGENT	Apuri	ru	shimelman2017	ɾ u	ru,ra		
113	ɾ - a	2234	URGENT	Apuri	ra	shimelman2017	ɾ a	ru,ra		
114	n a	2270	VERBALIZER	Apuri	na	shimelman2017	n a	na	some reciprocal action	
115	w a	3	1 OBJECT	Apurimac	wa	camacho2006	w a	wa		
116	j k i	24	1S SUBJECT 2S OBJECT	Apurimac	yki	camacho2006	j k i	yki		
118	n tʃ i k	58	1PL POSSESSOR	Apurimac	nchik	camacho2006	n tʃ i k	nchik,nchis		
123	n tʃ i s	58	1PL VERBAL	Apurimac	nchis	camacho2006	n tʃ i s	sunchis		
126	s u n + - tʃ i s	111 58	1PL VERBAL FUTURE	Apurimac	sunchis	camacho2006	s u n + tʃ i s	sunchis		
127	t a n t a + j	155 156	1S POSSESSOR	Apurimac	tanta-y	camacho2006	t a n t a + j	tanta-y		
129	k a + n i	234 235	1S VERBAL	Apurimac	ka-ni	camacho2006	k a + n i	ka-ni		
130	s a q -	280	1S VERBAL FUTURE	Apurimac	saq	camacho2006	s a q	saq		
135	- k i	348	2S POSSESSOR	Apurimac	ki	camacho2006	k i	ki		
138	w a + n k i	3 370	2S SUBJECT 1S OBJECT	Apurimac	wanki	camacho2006	w a + n k i	wanki, way		
139	w ai	3	2S SUBJECT 1S OBJECT	Apurimac	way	camacho2006	w ai	wanki, way		
140	n k i	370	2S VERBAL	Apurimac	nki	camacho2006	n k i	nki		
144	n q a	446	3S FUTURE	Apurimac	nqa	camacho2006	n q a	nqa		
145	n	466	3S POSSESSOR	Apurimac	n	camacho2006	n	n		
146	w a + n tʃ i s	3 486	3S SUBJECT 1PL OBJECT	Apurimac	wanchis	camacho2006	w a + n tʃ i s	wanchis, wanku, wanqaku		
149	w a + n	3 546	3S SUBJECT 1S OBJECT	Apurimac	wan	camacho2006	w a + n	wan, wanqa		
150	w a + n	3 546	3S SUBJECT 1S OBJECT	Apurimac	wanqa	camacho2006	w a + n	wan, wanqa	-qa is only the topic marker	
151	s u - - - + n k i	337 528	3S SUBJECT 2S OBJECT	Apurimac	sunki	camacho2006	s u + n k i	sunki		
152	n	546	3S VERBAL	Apurimac	n	camacho2006	n	n		
153	m a n t a	571	ABLATIVE	Apurimac	manta	camacho2006	m a n t a	manta		
154	j s i	598	ACCOMPANIMENT	Apurimac	ysi	camacho2006	j s i	ysi		
155	t a	614	ACCUSATIVE	Apurimac	ta	camacho2006	t a	ta		
156	p a s	639	ADDITIVE	Apurimac	pas	camacho2006	p a s	pas		
157	q	674	AGENTIVE	Apurimac	q	camacho2006	q	q		
158	s u - -	710	AUGMENTATIVE	Apurimac	su	camacho2006	s u	su, sara		
159	s a r a	710	AUGMENTATIVE	Apurimac	sara	camacho2006	s a r a	su, sara		
160	p a q	720	BENEFACTIVE	Apurimac	paq	camacho2006	p a q	paq		
161	tʃ i	766	CAUSATIVE	Apurimac	chi	camacho2006	tʃ i	chi		
162	p u n i	787	ASSERTIVE	Apurimac	puni	camacho2006	p u n i	puni		
163	m u	800	CISLOCATIVE	Apurimac	mu	camacho2006	m u	mu		
164	m u	800	CISLOCATIVE	Apurimac	mu	camacho2006	m u	mu		
165	m a n	853	CONDITIONAL	Apurimac	man	camacho2006	m a n	man		
166	r a q	877	CONTINUATIVE	Apurimac	raq	camacho2006	r a q	raq		
167	r a j a	8	UNINTERRUPTED ACTION	Apurimac	raya	camacho2006	r a j a	raya		
168	m a n	911	DATIVE/ILATIVE	Apurimac	man	camacho2006	m a n	man		
169	n a j a	939	DESIDERATIVE	Apurimac	naya	camacho2006	n a j a	naya		
170	tʃ a	976	DIMINUTIVE	Apurimac	cha	camacho2006	tʃ a	cha		
171	tʃ ai	1036	DISTAL DEMONSTRATIVE	Apurimac	chay	camacho2006	tʃ ai	chay		
172	h a q ai	1047	DISTAL REMOVED DEMONSTRATIVE	Apurimac	haqay	camacho2006	h a q ai	haqay		
173	tʃ k a	1062	PROGRESSIVE	Apurimac	chka	camacho2006	tʃ k a	chka		
174	i k a + tʃ a	16	PROGRESSIVE	Apurimac	ykacha	camacho2006	i k a + tʃ a	ykacha		
175	a r i	1095	EMPHATIC	Apurimac	ari	camacho2006	a r i	ari		
176	tʃ a	18	EVIDENTIAL CONJECTURAL	Apurimac	cha	camacho2006	tʃ a	cha		
177	m i	1157	EVIDENTIAL DIRECT	Apurimac	mi	camacho2006	m i	mi		
178	- i k i	1191	EVIDENTIAL MODIFIER (STRONGEST)	Apurimac	iki	camacho2006	i k i	iki		
179	i k u	1228	EXCEPTIONAL	Apurimac	yku	camacho2006	i k u	yku		
180	p u r a	1256	EXCLUSIVE	Apurimac	pura	camacho2006	p u r a	pura		
181	p a -	1315	GENITIVE	Apurimac	pa	camacho2006	p a	pa		
182	- r i	1397	INCEPTIVE	Apurimac	ri	camacho2006	r i	ri		
183	j a	1419	INCHOATIVE	Apurimac	ya	camacho2006	j a	ya		
184	n t i n	1443	INCLUSIVE	Apurimac	ntin	camacho2006	n t i n	ntin		
185	i	30	INFINITIVE	Apurimac	y	camacho2006	i	y		
186	tʃ u n	1486	INJUNCTIVE	Apurimac	chun	camacho2006	tʃ u n	chunku, y, ychis		
188	j tʃ i s	1362	IMPERATIVE 1P	Apurimac	ychis	camacho2006	j tʃ i s	chunku, y, ychis		
189	w a n	1507	INSTRUMENTAL-COMITATIVE	Apurimac	wan	camacho2006	w a n	wan		
190	p i	1603	LOCATIVE	Apurimac	pi	camacho2006	p i	pi		
191	k u	1637	MIDDLE VOICE	Apurimac	ku	camacho2006	k u	ku		
192	s a p a	1656	MULTIPLE POSSESSIVE	Apurimac	sapa	camacho2006	s a p a	sapa		
193	tʃ u	1682	NEGATION	Apurimac	chu	camacho2006	tʃ u	chu		
194	n a	1711	NOMINALIZER NA	Apurimac	na	camacho2006	n a	na		
195	r q a	1770	PAST TENSE	Apurimac	rqa	camacho2006	r q a	rqa		
196	r a l	1796	PECUNIAL	Apurimac	ral	camacho2006	r a l	ral		
197	s q a	1800	PERFECT	Apurimac	sqa	camacho2006	s q a	sqa		
198	s q a	1800	PERFECTIVIZER	Apurimac	sqa	camacho2006	s q a	sqa		
199	s t i n	2097	SUBORDINATOR ADVERBIAL	Apurimac	stin	camacho2006	s t i n	stin		
200	k u n a	1855	PLURAL	Apurimac	kuna	camacho2006	k u n a	kuna		
201	j o q ( - - )	1887	POSSESSIVE	Apurimac	yoq	camacho2006	j o q	yoq		
202	k ai	1927	PROXIMAL DEMONSTRATIVE	Apurimac	kay	camacho2006	k ai	kay		
203	ɾ ai k u	1948	REASON	Apurimac	rayku	camacho2006	ɾ ai k u	rayku		
205	n a k u	1976	RECIPROCAL	Apurimac	naku	camacho2006	n a k u	naku		
206	p a	2008	REPETITIVE	Apurimac	pa	camacho2006	p a	pa, paya		
207	p a j a	7	REPETITIVE	Apurimac	paya	camacho2006	p a j a	pa, paya		
208	s q a	2021	REPORTATIVE PAST TENSE	Apurimac	sqa	camacho2006	s q a	sqa		
209	ʎ a	2039	RESTRICTIVE	Apurimac	lla	camacho2006	ʎ a	lla, kama		
210	k a m a -	1578	LIMITATIVE	Apurimac	kama	camacho2006	k a m a	lla, kama		
211	t a q	2063	SEQUENTIAL	Apurimac	taq	camacho2006	t a q	taq		
213	s p a	2113	SUBORDINATOR IDSUB	Apurimac	spa	camacho2006	s p a	spa		
214	p t i	2144	SUBORDINATOR DIFFSUB	Apurimac	pti	camacho2006	p t i	pti		
215	r q u	2234	URGENT	Apurimac	rqu	camacho2006	r q u	rqu		
216	p u	2201	VERBAL BENEFACTIVE	Apurimac	pu	camacho2006	p u	pu		
217	ɲ a	1019	DISCONTINUATIVE	Apurimac	ña	camacho2006	ɲ a	ña		
219	j k i	24	1S SUBJECT 2S OBJECT	Ayacucho	yki	parker1969	j k i	yki		
221	n tʃ i k	58	1PL POSSESSOR	Ayacucho	nčik	parker1969	n tʃ i k	nčik		
222	n tʃ i k	58	1PL VERBAL	Ayacucho	nčik	parker1969	n tʃ i k	nčik		
223	tʃ - - + w a n	111 3	1PL VERBAL CONDITIONAL	Ayacucho	čwan	parker1969	tʃ + w a n	čwan		
224	s u n	111	1PL VERBAL FUTURE	Ayacucho	sun	parker1969	s u n	sun		
225	t a n t a + j	155 156	1S POSSESSOR	Ayacucho	tanta-y	parker1969	t a n t a + j	tanta-y	ku for plural	
227	s a + j k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Ayacucho	sayki	parker1969	s a + j k i	sayki, sqayki		
228	s χ a + j k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Ayacucho	sqayki	parker1969	s χ a + j k i	sayki, sqayki		
229	k a + n i	234 235	1S VERBAL	Ayacucho	ka-ni	parker1969	k a + n i	ka-ni	ku for plural	
230	s a χ -	280	1S VERBAL FUTURE	Ayacucho	saq	parker1969	s a χ	saq		
233	w a χ	325	2S CONDITIONAL	Ayacucho	waq	parker1969	w a χ	waq		
234	j k i	348	2S POSSESSOR	Ayacucho	yki	parker1969	j k i	yki	ku for plural	
235	w a + n k i	3 370	2S SUBJECT 1S OBJECT	Ayacucho	wanki	parker1969	w a + n k i	wanki		
236	n k i	370	2S VERBAL	Ayacucho	nki	parker1969	n k i	nki		
237	n χ a	446	3S FUTURE	Ayacucho	nqa	parker1969	n χ a	nqa	-qa for all future forms	
238	n	466	3S POSSESSOR	Ayacucho	n	parker1969	n	n	ku for plural	
239	w a + n tʃ i k	3 486	3S SUBJECT 1PL OBJECT	Ayacucho	wančik	parker1969	w a + n tʃ i k	wančik		
243	w a + n	3 546	3S SUBJECT 1S OBJECT	Ayacucho	wan	parker1969	w a + n	wan		
244	s u - - - + n k i	337 528	3S SUBJECT 2S OBJECT	Ayacucho	sunki	parker1969	s u + n k i	sunki		
246	n	546	3S VERBAL	Ayacucho	n	parker1969	n	n	ku for plural	
247	m a n t a	571	ABLATIVE	Ayacucho	manta	parker1969	m a n t a	manta		
248	- s i	598	ACCOMPANIMENT	Ayacucho	si	parker1969	s i	si		
249	t a	614	ACCUSATIVE	Ayacucho	ta	parker1969	t a	ta		
250	p a s	639	ADDITIVE	Ayacucho	pas	parker1969	p a s	pas		
251	χ	674	AGENTIVE	Ayacucho	q	parker1969	χ	q		
252	- i k i	1191	EVIDENTIAL MODIFIER (STRONGEST)	Ayacucho	iki	parker1969	i k i	iki	"bedauernd"	
253	s u - -	710	AUGMENTATIVE	Ayacucho	su	parker1969	s u	su, yku,yka	yku: verbal augmentative	
254	j k u	712	AUGMENTATIVE	Ayacucho	yku	parker1969	j k u	su, yku,yka	yku: verbal augmentative	
255	j k a	712	AUGMENTATIVE	Ayacucho	yka	parker1969	j k a	su, yku,yka	yku: verbal augmentative	
256	p a χ	720	BENEFACTIVE	Ayacucho	paq	parker1969	p a χ	paq		
257	tʃ i	766	CAUSATIVE	Ayacucho	či	parker1969	tʃ i	či		
258	p u n i	787	ASSERTIVE	Ayacucho	puni	parker1969	p u n i	puni		
259	m u	800	CISLOCATIVE	Ayacucho	mu	parker1969	m u	mu		
260	h i n a	824	COMPARATIVE	Ayacucho	hina	parker1969	h i n a	hina		
261	m a n	853	CONDITIONAL	Ayacucho	man	parker1969	m a n	man		
262	ɾ a χ	877	CONTINUATIVE	Ayacucho	raq	parker1969	ɾ a χ	raq		
263	ɾ a j a	8	UNINTERRUPTED ACTION	Ayacucho	raya	parker1969	ɾ a j a	raya		
264	m a n	911	DATIVE/ILATIVE	Ayacucho	man	parker1969	m a n	man		
265	k u tʃ a	974	DIFFUSION	Ayacucho	kUča	parker1969	k u tʃ a	kUča	diffusion in space, time and importance, idiomatic and fully productive; U	
266	tʃ a	976	DIMINUTIVE	Ayacucho	ča	parker1969	tʃ a	ča		
267	n k a	1054	DISTRIBUTIVE	Ayacucho	nka	parker1969	n k a	nka	quantifying: distribution or receiving	
268	tʃ k a	1062	PROGRESSIVE	Ayacucho	čka	parker1969	tʃ k a	čka		
269	- ( - ) - a ( - )	20	INTENSIFIER	Ayacucho	á	parker1969	a	á, ya	ya: regretting	
272	tʃ a	18	EVIDENTIAL CONJECTURAL	Ayacucho	ča	parker1969	tʃ a	č, ča		
273	m i	1157	EVIDENTIAL DIRECT	Ayacucho	mi	parker1969	m i	mi		
274	s -	1198	EVIDENTIAL REPORTATIVE	Ayacucho	s	parker1969	s	s, si		
275	s i	1198	EVIDENTIAL REPORTATIVE	Ayacucho	si	parker1969	s i	s, si		
276	p u ɾ a	1256	EXCLUSIVE	Ayacucho	pura	parker1969	p u ɾ a	pura	"among houses"	
277	tʃ a	1272	FACTIVE	Ayacucho	ča	parker1969	tʃ a	ča	deriving verb	
278	p a -	1315	GENITIVE	Ayacucho	pa	parker1969	p a	pa		
279	i	30	IMPERATIVE	Ayacucho	y	parker1969	i	y		
280	- ɾ i	1397	INCEPTIVE	Ayacucho	ri	parker1969	ɾ i	ri		
281	j a	1419	INCHOATIVE	Ayacucho	ya	parker1969	j a	ya		
282	n t i n	1443	INCLUSIVE	Ayacucho	ntin	parker1969	n t i n	ntin		
283	i	30	INFINITIVE	Ayacucho	y	parker1969	i	y		
284	w a n	1507	INSTRUMENTAL-COMITATIVE	Ayacucho	wan	parker1969	w a n	wan		
285	- ( - ) j a ( - )	20	INTENSIFIER	Ayacucho	ya	parker1969	j a	ya		
286	k a m a -	1578	LIMITATIVE	Ayacucho	kama	parker1969	k a m a	kama		
287	p i	1603	LOCATIVE	Ayacucho	pi	parker1969	p i	pi		
288	k u	1637	MIDDLE VOICE	Ayacucho	ku	parker1969	k u	ku		
289	s a p a	1656	MULTIPLE POSSESSIVE	Ayacucho	sapa	parker1969	s a p a	sapa		
290	tʃ u	1682	NEGATION	Ayacucho	ču	parker1969	tʃ u	ču		
291	n a	1711	NOMINALIZER NA	Ayacucho	na	parker1969	n a	na		
292	ɾ χ a	1770	PAST TENSE	Ayacucho	rqa	parker1969	ɾ χ a	rqa		
293	r a l	1796	PECUNIAL	Ayacucho	řal	parker1969	r a l	řal		
294	s χ a	1800	PERFECT	Ayacucho	sqa	parker1969	s χ a	sqa		
295	s χ a	1800	PERFECTIVIZER	Ayacucho	sqa	parker1969	s χ a	sqa		
296	k u n a	1855	PLURAL	Ayacucho	kuna	parker1969	k u n a	kuna		
297	j u χ ( - - )	1887	POSSESSIVE	Ayacucho	yuq	parker1969	j u χ	yuq		
298	ɾ ai k u	1948	REASON	Ayacucho	rayku	parker1969	ɾ ai k u	rayku		
299	n a k u	1976	RECIPROCAL	Ayacucho	naku	parker1969	n a k u	naku		
300	p a	2008	REPETITIVE	Ayacucho	pa	parker1969	p a	pa		
301	s χ a	2021	REPORTATIVE PAST TENSE	Ayacucho	sqa	parker1969	s χ a	sqa		
302	ʎ a	2039	RESTRICTIVE	Ayacucho	lla	parker1969	ʎ a	lla	just a house	
303	t a χ	2063	SEQUENTIAL	Ayacucho	taq	parker1969	t a χ	taq		
304	t i - -	32	SIMULATIVE	Ayacucho	ti	parker1969	t i	ti		
305	s t i -	2097	SUBORDINATOR ADVERBIAL	Ayacucho	sti	parker1969	s t i	sti		
306	s p a	2113	SUBORDINATOR IDSUB	Ayacucho	spa	parker1969	s p a	spa		
307	p t i	2144	SUBORDINATOR DIFFSUB	Ayacucho	pti	parker1969	p t i	pti		
308	χ a	2178	TOPIC	Ayacucho	qa	parker1969	χ a	qa		
309	ɾ a	11	UNINTERRUPTED ACTION	Ayacucho	ra	parker1969	ɾ a	ra		
310	ɾ χ u	2234	URGENT	Ayacucho	rqu	parker1969	ɾ χ u	rqu	urgency or personal interest	
311	p u	2201	VERBAL BENEFACTIVE	Ayacucho	pu	parker1969	p u	pu		
312	ɲ a	1019	DISCONTINUATIVE	Ayacucho	ña	parker1969	ɲ a	ña		
313	j k i	24	1S SUBJECT 2S OBJECT	Azuay	yqui	cordero1955	j k i	yqui	singular	
314	n tʃ i -	58	1PL VERBAL	Azuay	nchi	cordero1955	n tʃ i	nchi		
315	s u n + - tʃ i -	111 58	1PL VERBAL FUTURE	Azuay	sunchi	cordero1955	s u n + tʃ i	sunchi		
317	s q a + - k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Azuay	scaqui	cordero1955	s q a + k i	scaqui		
318	k a + n i	234 235	1S VERBAL	Azuay	ka-ni	cordero1955	k a + n i	ka-ni		
319	s a - -	280	1S VERBAL FUTURE	Azuay	sa	cordero1955	s a	sa		
321	n g i	370	2S VERBAL	Azuay	ngui	cordero1955	n g i	ngui		
325	n g a	446	3S FUTURE	Azuay	nga	cordero1955	n g a	nga		
326	n	546	3S VERBAL	Azuay	n	cordero1955	n	n	no se marca siempre	
327	m a n d a	571	ABLATIVE	Azuay	manda	cordero1955	m a n d a	manda		
328	t a	614	ACCUSATIVE	Azuay	ta	cordero1955	t a	ta		
329	p a s	639	ADDITIVE	Azuay	pas	cordero1955	p a s	pas		
330	g	674	AGENTIVE	Azuay	g	cordero1955	g	g		
331	p a	2201	VERBAL BENEFACTIVE	Azuay	pa	cordero1955	p a	pua		
332	t a -	754	INTERROGATION	Azuay	ta	cordero1955	t a	ta		
333	m u	800	CISLOCATIVE	Azuay	mu	cordero1955	m u	mu		
334	k o m o	825	COMPARATIVE	Azuay	como	cordero1955	k o m o	como		esp
335	n t ɾ a	854	CONDITIONAL	Azuay	ntra	cordero1955	n t ɾ a	ntra		
336	ɾ a j a	8	UNINTERRUPTED ACTION	Azuay	raya	cordero1955	ɾ a j a	raya		
337	- - k	905	CONTRASTIVE	Azuay	c	cordero1955	k	c, ca	llevé a Pacho. A María no	
